scenario,final_value,annualized_return,lost_amount,lost_percentage
Fully Invested,190344.73349701267,8.549844136664465,0.0,0.0
Miss 5 Best,117615.51647857548,7.104424660352082,72729.2170184372,38.2092089874284
Miss 10 Best,84752.13046546349,6.131581580028955,105592.60303154918,55.47440220257336
Miss 20 Best,49150.81804269671,4.533594390214168,141193.91545431595,74.17799949612575
Miss 30 Best,30888.98250530504,3.19026556991151,159455.75099170764,83.77208450277936
Miss 40 Best,20387.55586225666,2.0033339999225186,169957.17763475602,89.2891410822372
